BrandID;BrandName;BrandOwnerID;BrandOwner;ParentID;ParentCompany;SubBrandID;SubBrand;Revision Date
BBBB;3M;BBBB;3M;BBBB;3M;GGGG;ScotchBlue;12-Jul-07
BBBC;A&A;BDCZ;A&A Specialties;BFCQ;GT Styling;;;12-Jul-07
BBBD;AIM;BDDB;Automotive Importing Manufacturing Inc - AIM;BDDB;Automotive Importing Manufacturing Inc - AIM;;;12-Jul-07
BBBF;AL Doering;BDDC;AL Doering Spark Plug;BDDC;AL Doering Spark Plug;;;12-Jul-07
BBBG;ALO;BDDD;ALO Sales & Marketing;BDDD;ALO Sales & Marketing;;;12-Jul-07
BBBH;AMH;BDDF;AMH Ltd;BDDF;AMH Ltd;;;12-Jul-07
BBBJ;Aaron's;BDDH;Aaron's Automotive Products;BDDH;Aaron's Automotive Products;;;12-Jul-07
BBBL;ABS;BDDK;ABS Friction Inc;BDDK;ABS Friction Inc;;;12-Jul-07
BBBM;Absco;BDDL;Absco Ltee Ltd;BDDL;Absco Ltee Ltd;;;12-Jul-07
BBBN;Delco-Remy;BCVC;ACDelco;BDDM;GM Customer Care and Aftersales;FBRX;60 Series;12-Jul-07
BBBQ;Acar;BDDN;Acar Industries LLC;BDDN;Acar Industries LLC;;;12-Jul-07
BBBR;Acco;BDDQ;Acco Industries;BDDQ;Acco Industries;;;12-Jul-07
BBBS;Accu;BDDR;Accu Industries Inc;BDDR;Accu Industries Inc;;;12-Jul-07
BBBT;ACF;BDDT;ACF Heat Transfer Components;BDDT;ACF Heat Transfer Components;;;12-Jul-07
BBBV;ACL;BDDW;ACL Automotive America Inc;BDDW;ACL Automotive America Inc;;;12-Jul-07
BBBW;Acme;BDDX;Acme Products Company;BDDX;Acme Products Company;;;12-Jul-07
BBBX;Actron;DCPF;SPX;BQGB;SPX;;;16-Set-11
BBBZ;Addco;BDFB;Addco Industries;BDFB;Addco Industries;;;12-Jul-07
BBCC;Aeroquip;CWMG;Eaton Corporation;CQXS;Eaton Corporation;;;8-Jul-16
BBCD;Afla;BDFG;Afla Products Inc;BDFG;Afla Products Inc;;;12-Jul-07
BBCF;Aimco;BDBM;Brake Parts Inc LLC;FNCD;Brake Parts Inc LLC;;;20-Nov-08
BBCG;Air Lift;BDFJ;Air Lift Company;BDFJ;Air Lift Company;;;12-Jul-07
BBCH;Air Pro/Maritta;BDFL;Air Pro/Maritta Radiator;BDFL;Air Pro/Maritta Radiator;;;12-Jul-07
BBCL;Akmi;BDFM;Akmi Corporation;BDFM;Akmi Corporation;;;12-Jul-07
BBCM;Alba;BDFN;Alba Performance Wheels;BDFN;Alba Performance Wheels;;;12-Jul-07
BBCN;Alcoa;BDFP;Alcoa Custom Wheels;BDFP;Alcoa Custom Wheels;;;12-Jul-07
BBCP;Alemite;BDFQ;Alemite Corporation;BDFQ;Alemite Corporation;;;12-Jul-07
BBCR;Lance Electrical;BDFR;All Pro;BDFR;All Pro;;;12-Jul-07
BBCS;All Star;BDFS;All Star Automotive Products;BDFS;All Star Automotive Products;;;12-Jul-07
BBCT;Allied Eastern Corporation (AEC);BDFT;Allied Eastern Corporation-AEC;BDFT;Allied Eastern Corporation-AEC;;;12-Jul-07
BBCW;American Grease Stick (AGS);BDGB;AGS Company;BDGB;AGS Company;;;12-Jul-07
BBCX;American Designers;BDGF;American Designers Inc;BDGF;American Designers Inc;;;12-Jul-07
BBCZ;American Driveline;BCVF;American Driveline Inc;BFQF;American Remanufacturers Inc-ARI;;;12-Jul-07
BBDB;American Eagle;BDGG;American Eagle Wheel;BDGG;American Eagle Wheel;;;12-Jul-07
BBDC;American Racing;BDGK;American Racing Equipment;BDGK;American Racing Equipment;;;31-Dic-97
BBDD;American Rubber;BDGL;American Rubber Product;BDGL;American Rubber Product;;;12-Jul-07
BBDF;Irwin/Hanson;BDGN;American Tool Company;BDGN;American Tool Company;;;12-Jul-07
BBDG;Ampere;BDGP;Ampere Automotive Company;BDGP;Ampere Automotive Company;;;12-Jul-07
BBDH;AMS Automotive;BDGQ;AMS Automotive;BDGQ;AMS Automotive;;;12-Jul-07
BBDJ;Anchor Doan;BFDJ;Anchor Industries;BFDJ;Anchor Industries;;;12-Jul-07
BBDK;Ansa;BDGS;AP Exhaust Technologies;BDGS;AP Exhaust Technologies;;;12-Jul-07
BBDL;AP Exhaust;BDGS;AP Exhaust Technologies;BDGS;AP Exhaust Technologies;;;12-Jul-07
BBDM;APA;BDGT;APA Industries;BDGT;APA Industries;;;12-Jul-07
BBDN;API;BDGV;Automotive Products Inc - API;BDGV;Automotive Products Inc - API;;;12-Jul-07
BBDP;Aragon;BDGW;Aragon Engineering Inc;BDGW;Aragon Engineering Inc;;;12-Jul-07
BBDQ;ARC;BDGX;ARC Remanufacturing Inc;BDGX;ARC Remanufacturing Inc;;;12-Jul-07
BBDR;ARIES;BDGZ;ARIES Automotive;HCWZ;CURT Group;;;20-Jun-17
BBDS;DNS;BDHB;Armatures DNS 2000 Inc;BDHB;Armatures DNS 2000 Inc;;;12-Jul-07
BBDT;Armstrong;GNGD;Apex Tool Group LLC;GNGC;Apex Tool Group LLC;;;31-May-16
BBDV;ARS;BDHK;ARS Inc;BDHK;ARS Inc;;;12-Jul-07
BBDW;ASC;BDHM;ASC Industries;BDHM;ASC Industries;;;12-Jul-07
BBDX;Astro;BDHQ;Astro Rebuilding Corporation;BDHQ;Astro Rebuilding Corporation;;;12-Jul-07
BBDZ;ATK;BDHR;ATK North America;DMQS;LKQ Corporation;DXWN;Spartan Engines;12-Jul-07
BBDZ;ATK;BDHR;ATK North America;DMQS;LKQ Corporation;FVJM;Professional Powertrain;12-Jul-07
BBFB;ATP;BDHT;ATP Inc;BDHT;ATP Inc;;;8-Oct-15
BBFC;Atsco;BCVH;Atsco Products Inc;BGRT;BBB Industries;;;12-Jul-07
BBFD;Auto Saver;BDJB;Auto Saver Products;BDJB;Auto Saver Products;;;6-Feb-13
BBFF;Auto Ventshade (AVS);BLHW;Lund International;BLHW;Lund International;;;12-Jul-07
BBFG;Autoline;BDJH;Autoline Industries Inc;BDJH;Autoline Industries Inc;;;12-Jul-07
BBFH;AutoLine Products;BDJJ;Autoline Products Ltd;BDJJ;Autoline Products Ltd;;;12-Jul-07
BBFJ;Calistar;BDJJ;Autoline Products Ltd;BDJJ;Autoline Products Ltd;;;12-Jul-07
BBFK;Automan;BDJK;Automan Inc;BDJK;Automan Inc;;;12-Jul-07
BBFL;Automotive Accessory;BDJM;Automotive Accessory Company;BDJM;Automotive Accessory Company;;;12-Jul-07
BBFM;Automotive Air International;BDJN;Automotive Air International Inc;BDJN;Automotive Air International Inc;;;12-Jul-07
BBFN;Automotive Exchange Services;BDJQ;Automotive Exchange Services Inc;BDJQ;Automotive Exchange Services Inc;;;12-Jul-07
BBFP;Automotive Resource;BDJS;Automotive Resource Corporation;BDJS;Automotive Resource Corporation;;;12-Jul-07
BBFQ;Automotive Supply;BDJT;Automotive Supply Company;BDJT;Automotive Supply Company;;;12-Jul-07
BBFR;Automotive Undercar;BDJV;Automotive Undercar Products;BDJV;Automotive Undercar Products;;;12-Jul-07
BBFS;B&B Fabrication;BDKF;B&B Fabrication Inc;BDKF;B&B Fabrication Inc;;;12-Jul-07
BBFT;B&M;BDKG;B&M Auto Products;FSLT;Driven Performance Brands;;;12-Jul-07
BBFV;BWP;BDKH;BWP Inc;BDKH;BWP Inc;;;12-Jul-07
BBFW;Balcrank;BDKJ;Balcrank Corporation Inc;BDKJ;Balcrank Corporation Inc;;;12-Jul-07
BBFX;Balkamp;BDKL;Balkamp Inc;BDKL;Balkamp Inc;;;12-Jul-07
BBFZ;BRK;BDKQ;BDT Canada;BDKQ;BDT Canada;;;12-Jul-07
BBGB;Beck/Arnley;BCVL;Beck/Arnley Worldparts;BCVL;Beck/Arnley Worldparts;;;12-Jul-07
BBGC;Bell Tech;CXKJ;KW Automotive North America Inc;CRVS;KW Automotive North America Inc;;;12-Jul-07
BBGF;Berryman;BDKT;Berryman Products;BDKT;Berryman Products;;;12-Jul-07
BBGG;Best Value;BDKV;Best Value Gaskets;BDKV;Best Value Gaskets;;;12-Jul-07
BBGJ;Better Brake Parts;BDKX;Better Brake Parts Inc;BDKX;Better Brake Parts Inc;;;12-Jul-07
BBGK;Big Boy;BDLC;Big Boy Products;BDLC;Big Boy Products;;;12-Jul-07
BBGL;Bilstein;DCXG;ThyssenKrupp Automotive Group;CVLH;ThyssenKrupp Automotive Group;;;12-Jul-07
BBGM;Porto-Power;BCVN;Blackhawk Automotive;BGCQ;Lincoln;;;12-Jul-07
BBGN;Blackhawk;BDBF;Proto;BGDL;Stanley Black & Decker Inc;;;8-Jul-16
BBGP;Baja Tough;BDLL;Blazer International;HFFK;Tiger Accessory Group;;;12-Jul-07
BBGQ;Pathfinder;BDLL;Blazer International;HFFK;Tiger Accessory Group;;;12-Jul-07
BBGR;BLD;BDLM;BLD Products Ltd;BDLM;BLD Products Ltd;;;12-Jul-07
